computeUnits,globalSize,localSize,maxIterations,time
14,"[7680,4320]","[32,32]",10000,277.459680
14,"[7680,4320]","[32,32]",20000,503.554048
14,"[7680,4320]","[32,32]",30000,755.014368
14,"[7680,4320]","[32,32]",40000,1051.361568
14,"[7680,4320]","[32,32]",50000,1278.296064
14,"[7680,4320]","[32,32]",60000,1538.214464
14,"[7680,4320]","[32,32]",70000,1807.822816
14,"[7680,4320]","[32,32]",80000,2014.228384
14,"[7680,4320]","[32,32]",90000,2276.378624
14,"[7680,4320]","[32,32]",100000,2566.045696
14,"[7680,4320]","[32,32]",110000,2787.974272
14,"[7680,4320]","[32,32]",120000,3046.272128
14,"[7680,4320]","[32,32]",130000,3351.107392
14,"[7680,4320]","[32,32]",140000,3557.098848
14,"[7680,4320]","[32,32]",150000,3863.410496
14,"[7680,4320]","[32,32]",160000,4098.217984
14,"[7680,4320]","[32,32]",170000,4372.154752
14,"[7680,4320]","[32,32]",180000,4627.433472
14,"[7680,4320]","[32,32]",190000,4883.233824
14,"[7680,4320]","[32,32]",200000,5148.972736
14,"[7680,4320]","[32,32]",210000,5412.745248
14,"[7680,4320]","[32,32]",220000,5674.381792
14,"[7680,4320]","[32,32]",230000,5886.294368
14,"[7680,4320]","[32,32]",240000,6183.797600
14,"[7680,4320]","[32,32]",250000,6459.103488
14,"[7680,4320]","[32,32]",260000,6674.763168
14,"[7680,4320]","[32,32]",270000,6930.369312
14,"[7680,4320]","[32,32]",280000,7224.194624
14,"[7680,4320]","[32,32]",290000,7446.624576
14,"[7680,4320]","[32,32]",300000,7701.888320
14,"[7680,4320]","[32,32]",310000,7964.247712
14,"[7680,4320]","[32,32]",320000,8226.281792
14,"[7680,4320]","[32,32]",330000,8515.347072
14,"[7680,4320]","[32,32]",340000,8752.909376
14,"[7680,4320]","[32,32]",350000,9009.447584
14,"[7680,4320]","[32,32]",360000,9262.853824
14,"[7680,4320]","[32,32]",370000,9516.918240
14,"[7680,4320]","[32,32]",380000,9783.177632
14,"[7680,4320]","[32,32]",390000,10038.657024
14,"[7680,4320]","[32,32]",400000,10291.034528
14,"[7680,4320]","[32,32]",410000,10547.342048
14,"[7680,4320]","[32,32]",420000,10833.465344
14,"[7680,4320]","[32,32]",430000,11077.171520
14,"[7680,4320]","[32,32]",440000,11327.535104
14,"[7680,4320]","[32,32]",450000,11591.096192
14,"[7680,4320]","[32,32]",460000,11900.132960
14,"[7680,4320]","[32,32]",470000,12116.422400
14,"[7680,4320]","[32,32]",480000,12370.948192
14,"[7680,4320]","[32,32]",490000,12624.581920
14,"[7680,4320]","[32,32]",500000,12878.640832
14,"[7680,4320]","[32,32]",510000,13180.013536
14,"[7680,4320]","[32,32]",520000,13424.314368
14,"[7680,4320]","[32,32]",530000,13690.211904
14,"[7680,4320]","[32,32]",540000,13939.965600
14,"[7680,4320]","[32,32]",550000,14242.354208
14,"[7680,4320]","[32,32]",560000,14461.417216
14,"[7680,4320]","[32,32]",570000,14777.886272
14,"[7680,4320]","[32,32]",580000,15029.278880
14,"[7680,4320]","[32,32]",590000,15275.896832
14,"[7680,4320]","[32,32]",600000,15540.338176
14,"[7680,4320]","[32,32]",610000,15805.491552
14,"[7680,4320]","[32,32]",620000,16045.289472
14,"[7680,4320]","[32,32]",630000,16328.725952
14,"[7680,4320]","[32,32]",640000,16556.896480
14,"[7680,4320]","[32,32]",650000,16817.574272
14,"[7680,4320]","[32,32]",660000,17063.492608
14,"[7680,4320]","[32,32]",670000,17341.160864
14,"[7680,4320]","[32,32]",680000,17570.641728
14,"[7680,4320]","[32,32]",690000,17841.161024
14,"[7680,4320]","[32,32]",700000,18142.916608
14,"[7680,4320]","[32,32]",710000,18365.972480
14,"[7680,4320]","[32,32]",720000,18651.186528
14,"[7680,4320]","[32,32]",730000,18863.642336
14,"[7680,4320]","[32,32]",740000,19134.760832
14,"[7680,4320]","[32,32]",750000,19395.201024
14,"[7680,4320]","[32,32]",760000,19651.591808
14,"[7680,4320]","[32,32]",770000,19914.024800
14,"[7680,4320]","[32,32]",780000,20206.128768
14,"[7680,4320]","[32,32]",790000,20436.666400
14,"[7680,4320]","[32,32]",800000,20688.267680
14,"[7680,4320]","[32,32]",810000,20952.993856
14,"[7680,4320]","[32,32]",820000,21227.941536
14,"[7680,4320]","[32,32]",830000,21529.667296
14,"[7680,4320]","[32,32]",840000,21783.819296
14,"[7680,4320]","[32,32]",850000,22048.041216
14,"[7680,4320]","[32,32]",860000,22312.901472
14,"[7680,4320]","[32,32]",870000,22555.299584
14,"[7680,4320]","[32,32]",880000,22803.027360
14,"[7680,4320]","[32,32]",890000,23074.619392
14,"[7680,4320]","[32,32]",900000,23332.341760
14,"[7680,4320]","[32,32]",910000,23616.262048
14,"[7680,4320]","[32,32]",920000,23830.110624
14,"[7680,4320]","[32,32]",930000,24112.397376
14,"[7680,4320]","[32,32]",940000,24351.168160
14,"[7680,4320]","[32,32]",950000,24623.815168
14,"[7680,4320]","[32,32]",960000,24860.800864
14,"[7680,4320]","[32,32]",970000,25130.166464
14,"[7680,4320]","[32,32]",980000,25404.836576
14,"[7680,4320]","[32,32]",990000,25655.973408
14,"[7680,4320]","[32,32]",1000000,25892.726848
