computeUnits,globalSize,localSize,maxIterations,time
108,"[7680,4320]","[32,16]",1000,8.141824
108,"[7680,4320]","[32,32]",1000,8.194048
108,"[7680,4320]","[32,32]",10000,50.332672
108,"[7680,4320]","[32,32]",20000,97.214464
108,"[7680,4320]","[32,32]",30000,128.272384
108,"[7680,4320]","[32,32]",40000,157.305856
108,"[7680,4320]","[32,32]",50000,195.966976
108,"[7680,4320]","[32,32]",60000,233.888768
108,"[7680,4320]","[32,32]",70000,272.595968
108,"[7680,4320]","[32,32]",80000,310.280192
108,"[7680,4320]","[32,32]",90000,349.665280
108,"[7680,4320]","[32,32]",100000,387.144704
108,"[7680,4320]","[32,32]",110000,425.701376
108,"[7680,4320]","[32,32]",120000,463.784960
108,"[7680,4320]","[32,32]",130000,501.649408
108,"[7680,4320]","[32,32]",140000,540.887040
108,"[7680,4320]","[32,32]",150000,579.120128
108,"[7680,4320]","[32,32]",160000,617.795584
108,"[7680,4320]","[32,32]",170000,656.847872
108,"[7680,4320]","[32,32]",180000,695.287808
108,"[7680,4320]","[32,32]",190000,732.950528
108,"[7680,4320]","[32,32]",200000,771.826688
108,"[7680,4320]","[32,32]",210000,810.708992
108,"[7680,4320]","[32,32]",220000,847.915008
108,"[7680,4320]","[32,32]",230000,887.962624
108,"[7680,4320]","[32,32]",240000,925.562880
108,"[7680,4320]","[32,32]",250000,964.357120
108,"[7680,4320]","[32,32]",260000,1002.976256
108,"[7680,4320]","[32,32]",270000,1039.474688
108,"[7680,4320]","[32,32]",280000,1078.738944
108,"[7680,4320]","[32,32]",290000,1117.478912
108,"[7680,4320]","[32,32]",300000,1157.224448
108,"[7680,4320]","[32,32]",310000,1196.526592
108,"[7680,4320]","[32,32]",320000,1232.975872
108,"[7680,4320]","[32,32]",330000,1269.370880
108,"[7680,4320]","[32,32]",340000,1311.751168
108,"[7680,4320]","[32,32]",350000,1350.342656
108,"[7680,4320]","[32,32]",360000,1386.422272
108,"[7680,4320]","[32,32]",370000,1427.415040
108,"[7680,4320]","[32,32]",380000,1463.097344
108,"[7680,4320]","[32,32]",390000,1503.624192
108,"[7680,4320]","[32,32]",400000,1540.070400
108,"[7680,4320]","[32,32]",410000,1578.541056
108,"[7680,4320]","[32,32]",420000,1617.012736
108,"[7680,4320]","[32,32]",430000,1656.411136
108,"[7680,4320]","[32,32]",440000,1696.315392
108,"[7680,4320]","[32,32]",450000,1731.349504
108,"[7680,4320]","[32,32]",460000,1770.041344
108,"[7680,4320]","[32,32]",470000,1808.153600
108,"[7680,4320]","[32,32]",480000,1847.036928
108,"[7680,4320]","[32,32]",490000,1887.140864
108,"[7680,4320]","[32,32]",500000,1921.484800
108,"[7680,4320]","[32,32]",510000,1961.748480
108,"[7680,4320]","[32,32]",520000,2000.325632
108,"[7680,4320]","[32,32]",530000,2038.257664
108,"[7680,4320]","[32,32]",540000,2077.107200
108,"[7680,4320]","[32,32]",550000,2114.723840
108,"[7680,4320]","[32,32]",560000,2153.340928
108,"[7680,4320]","[32,32]",570000,2192.913408
108,"[7680,4320]","[32,32]",580000,2228.549632
108,"[7680,4320]","[32,32]",590000,2268.345344
108,"[7680,4320]","[32,32]",600000,2306.746368
108,"[7680,4320]","[32,32]",610000,2343.815168
108,"[7680,4320]","[32,32]",620000,2386.406400
108,"[7680,4320]","[32,32]",630000,2421.307392
108,"[7680,4320]","[32,32]",640000,2465.350656
108,"[7680,4320]","[32,32]",650000,2499.752960
108,"[7680,4320]","[32,32]",660000,2541.999104
108,"[7680,4320]","[32,32]",670000,2575.114240
108,"[7680,4320]","[32,32]",680000,2612.915200
108,"[7680,4320]","[32,32]",690000,2653.662208
108,"[7680,4320]","[32,32]",700000,2690.192384
108,"[7680,4320]","[32,32]",710000,2732.860416
108,"[7680,4320]","[32,32]",720000,2769.852416
108,"[7680,4320]","[32,32]",730000,2812.625920
108,"[7680,4320]","[32,32]",740000,2843.216896
108,"[7680,4320]","[32,32]",750000,2886.037504
108,"[7680,4320]","[32,32]",760000,2926.194688
108,"[7680,4320]","[32,32]",770000,2968.130560
108,"[7680,4320]","[32,32]",780000,2996.814848
108,"[7680,4320]","[32,32]",790000,3039.186944
108,"[7680,4320]","[32,32]",800000,3072.174080
108,"[7680,4320]","[32,32]",810000,3112.735744
108,"[7680,4320]","[32,32]",820000,3153.282048
108,"[7680,4320]","[32,32]",830000,3186.000896
108,"[7680,4320]","[32,32]",840000,3226.163200
108,"[7680,4320]","[32,32]",850000,3263.399936
108,"[7680,4320]","[32,32]",860000,3306.985472
108,"[7680,4320]","[32,32]",870000,3341.095936
108,"[7680,4320]","[32,32]",880000,3386.442752
108,"[7680,4320]","[32,32]",890000,3419.294720
108,"[7680,4320]","[32,32]",900000,3464.310784
108,"[7680,4320]","[32,32]",910000,3503.416320
108,"[7680,4320]","[32,32]",920000,3529.247744
108,"[7680,4320]","[32,32]",930000,3572.004864
108,"[7680,4320]","[32,32]",940000,3609.558016
108,"[7680,4320]","[32,32]",950000,3654.679552
108,"[7680,4320]","[32,32]",960000,3694.359552
108,"[7680,4320]","[32,32]",970000,3727.368192
108,"[7680,4320]","[32,32]",980000,3770.315776
108,"[7680,4320]","[32,32]",990000,3805.450240
108,"[7680,4320]","[32,32]",1000000,3834.894336
